CNT_FULLNAME,sand % topsoil,sand % subsoil,silt % topsoil,silt% subsoil,clay % topsoil,clay % subsoil,pH water topsoil,pH water subsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,BS % topsoil,BS % subsoil,CEC topsoil,CEC subsoil,CEC clay topsoil,CEC Clay subsoil,CaCO3 % topsoil,CaCO3 % subsoil,BD topsoil,BD subsoil,C/N topsoil,C/N subsoil,geometry,psurf_PSurf_WFDE5_CRU_201901_v2.1,psurf_PSurf_WFDE5_CRU_201902_v2.1,psurf_PSurf_WFDE5_CRU_201903_v2.1,psurf_PSurf_WFDE5_CRU_201904_v2.1,psurf_PSurf_WFDE5_CRU_201905_v2.1,psurf_PSurf_WFDE5_CRU_201906_v2.1,psurf_PSurf_WFDE5_CRU_201907_v2.1,psurf_PSurf_WFDE5_CRU_201908_v2.1,psurf_PSurf_WFDE5_CRU_201909_v2.1,psurf_PSurf_WFDE5_CRU_201910_v2.1,psurf_PSurf_WFDE5_CRU_201911_v2.1,psurf_PSurf_WFDE5_CRU_201912_v2.1,psurf_mean
ALGERIA,55.9,54.18,20.24,19.38,23.88,26.44,6.94,7.28,0.69,0.306,0.132,0.048,86.2,94.2,12.06,12.14,47.6,42.8,2.02,5.1,1.42,1.5,10.8,8.4,"POLYGON ((3.694410085678101 36.84677124023438, 3.704890012741089 36.85358810424805, 3.742860078811646 36.87873840332031, 3.756089925765991 36.89361953735352, 3.766740083694458 36.90560150146484, 3.832329988479614 36.92631149291992, 3.883389949798584 36.93542861938477, 3.887769937515259 36.93621063232422, 3.975579977035522 36.92103958129883, 4.003459930419922 36.92528915405273, 4.035900115966797 36.92039108276367, 4.06525993347168 36.92481994628906, 4.145999908447266 36.91915893554688, 4.159379959106445 36.91915130615234, 4.233310222625732 36.9190788269043, 4.2746901512146 36.92361068725586, 4.305650234222412 36.91852951049805, 4.407949924468994 36.91888046264648, 4.458399772644043 36.91019058227539, 4.473130226135254 36.92142868041992, 4.525199890136719 36.91606903076172, 4.533440113067627 36.91318893432617, 4.557129859924316 36.90494155883789, 4.682119846343994 36.90489959716797, 4.719399929046631 36.8957405090332, 4.762119770050049 36.90370941162109, 4.854030132293701 36.89411163330078, 4.973299980163574 36.85861968994141, 4.991109848022461 36.84317016601562, 4.999489784240723 36.83589935302734, 5.025990009307861 36.83982849121094, 5.085939884185791 36.80363845825195, 5.131360054016113 36.79257965087891, 5.143239974975586 36.78068161010742, 5.134890079498291 36.77241134643555, 5.070869922637939 36.74338912963867, 4.983049869537354 36.72520065307617, 4.96382999420166 36.71324920654297, 4.954659938812256 36.7158317565918, 4.929989814758301 36.71281814575195, 4.893459796905518 36.70404052734375, 4.868780136108398 36.6981201171875, 4.779950141906738 36.66596984863281, 4.780350208282471 36.66268157958984, 4.739009857177734 36.62860107421875, 4.688560009002686 36.59664154052734, 4.683219909667969 36.5725212097168, 4.676839828491211 36.52793121337891, 4.663959980010986 36.52690887451172, 4.641499996185303 36.50759887695312, 4.615489959716797 36.49214172363281, 4.494929790496826 36.41963958740234, 4.341770172119141 36.35794830322266, 4.327199935913086 36.34299850463867, 4.264540195465088 36.33689117431641, 4.062960147857666 36.33831024169922, 4.013030052185059 36.33372116088867, 3.999020099639893 36.342529296875, 3.870490074157715 36.35023880004883, 3.822989940643311 36.35895919799805, 3.824209928512573 36.365478515625, 3.82748007774353 36.38304138183594, 3.816829919815063 36.39599990844727, 3.801670074462891 36.41447067260742, 3.801239967346191 36.41775131225586, 3.701200008392334 36.44229888916016, 3.68474006652832 36.46421813964844, 3.665580034255981 36.47959899902344, 3.658740043640137 36.49557876586914, 3.740679979324341 36.51403045654297, 3.757450103759766 36.51216125488281, 3.787260055541992 36.51131057739258, 3.788259983062744 36.50809097290039, 3.839260101318359 36.47266006469727, 3.854660034179688 36.4536018371582, 3.906589984893799 36.42609024047852, 3.913909912109375 36.42221069335938, 3.961450099945068 36.40341949462891, 3.984009981155396 36.39202117919922, 4.098130226135254 36.38576126098633, 4.123069763183594 36.38830184936523, 4.227479934692383 36.39138031005859, 4.27632999420166 36.40235137939453, 4.282350063323975 36.4199104309082, 4.287749767303467 36.42541122436523, 4.300580024719238 36.43846893310547, 4.299359798431396 36.44816970825195, 4.298870086669922 36.45209121704102, 4.289340019226074 36.45795059204102, 4.234109878540039 36.46286010742188, 4.225150108337402 36.46878051757812, 4.221660137176514 36.47795104980469, 4.217030048370361 36.49190902709961, 4.18189001083374 36.49893188476562, 4.125140190124512 36.54113006591797, 4.072750091552734 36.52590942382812, 4.023459911346436 36.51424026489258, 3.913140058517456 36.54061889648438, 3.901849985122681 36.54151916503906, 3.836639881134033 36.54695129394531, 3.826719999313354 36.55934906005859, 3.776989936828613 36.5782585144043, 3.744309902191162 36.59484100341797, 3.681430101394653 36.62680053710938, 3.692759990692139 36.66139984130859, 3.738679885864258 36.69329833984375, 3.738250017166138 36.69657897949219, 3.797399997711182 36.69554138183594, 3.814820051193237 36.69721984863281, 3.843440055847168 36.69998931884766, 3.911190032958984 36.69638061523438, 3.999500036239624 36.67134094238281, 4.029610157012939 36.66997909545898, 4.119900226593018 36.6657600402832, 4.236480236053467 36.64984130859375, 4.287499904632568 36.64791107177734, 4.294849872589111 36.6551399230957, 4.291279792785645 36.67853927612305, 4.30826997756958 36.70742034912109, 4.304269790649414 36.73410034179688, 4.290170192718506 36.74288177490234, 4.208680152893066 36.75223159790039, 4.151750087738037 36.75094985961914, 3.925339937210083 36.74541854858398, 3.836040019989014 36.74671173095703, 3.810580015182495 36.76686859130859, 3.797790050506592 36.77701187133789, 3.760070085525513 36.77658081054688, 3.724050045013428 36.79005813598633, 3.710449934005737 36.82580184936523, 3.694410085678101 36.84677124023438))",96650.046875,97215.4765625,97010.21875,96198.3125,96397.1171875,96367.1875,96311.9453125,96458.921875,96643.28125,96614.6484375,96119.1015625,96794.921875,96565.09830729167
ALGERIA,40.08,38.085,20.015,18.79,39.875,43.095,6.89,7.02,0.6135,0.367,0.0795,0.046,89.6,90.6,27.37,29.37,61.0,63.9,0.845,1.245,1.46,1.595,10.4,9.7,"POLYGON ((3.567569971084595 36.79655838012695, 3.615999937057495 36.80398941040039, 3.638819932937622 36.81462097167969, 3.660530090332031 36.82474136352539, 3.694410085678101 36.84677124023438, 3.710449934005737 36.82580184936523, 3.724050045013428 36.79005813598633, 3.760070085525513 36.77658081054688, 3.797790050506592 36.77701187133789, 3.810580015182495 36.76686859130859, 3.836040019989014 36.74671173095703, 3.925339937210083 36.74541854858398, 4.151750087738037 36.75094985961914, 4.208680152893066 36.75223159790039, 4.290170192718506 36.74288177490234, 4.304269790649414 36.73410034179688, 4.30826997756958 36.70742034912109, 4.291279792785645 36.67853927612305, 4.294849872589111 36.6551399230957, 4.287499904632568 36.64791107177734, 4.236480236053467 36.64984130859375, 4.119900226593018 36.6657600402832, 4.029610157012939 36.66997909545898, 3.999500036239624 36.67134094238281, 3.911190032958984 36.69638061523438, 3.843440055847168 36.69998931884766, 3.814820051193237 36.69721984863281, 3.797399997711182 36.69554138183594, 3.738250017166138 36.69657897949219, 3.737370014190674 36.70312881469727, 3.709029912948608 36.72103881835938, 3.612149953842163 36.7216682434082, 3.585750102996826 36.75717926025391, 3.574779987335205 36.77194976806641, 3.567569971084595 36.79655838012695))",99263.4765625,99808.359375,99571.1171875,98718.625,98889.046875,98795.046875,98708.234375,98879.1796875,99080.8671875,99102.453125,98662.546875,99341.765625,99068.39322916667
ALGERIA,55.44,54.55,20.84,19.55,23.75,25.9,6.94,7.36,0.63,0.283,0.143,0.058,90.6,95.5,12.71,13.13,45.7,46.4,2.98,7.44,1.47,1.5,10.7,8.2,"POLYGON ((3.492140054702759 36.78657913208008, 3.519229888916016 36.78096008300781, 3.555929899215698 36.79476928710938, 3.567569971084595 36.79655838012695, 3.574779987335205 36.77194976806641, 3.585750102996826 36.75717926025391, 3.612149953842163 36.7216682434082, 3.709029912948608 36.72103881835938, 3.737370014190674 36.70312881469727, 3.738250017166138 36.69657897949219, 3.738679885864258 36.69329833984375, 3.692759990692139 36.66139984130859, 3.681430101394653 36.62680053710938, 3.744309902191162 36.59484100341797, 3.776989936828613 36.5782585144043, 3.826719999313354 36.55934906005859, 3.836639881134033 36.54695129394531, 3.901849985122681 36.54151916503906, 3.913140058517456 36.54061889648438, 4.023459911346436 36.51424026489258, 4.017849922180176 36.49340057373047, 4.017819881439209 36.48751831054688, 4.019330024719238 36.46651840209961, 4.037819862365723 36.45476150512695, 4.073180198669434 36.44440078735352, 4.07765007019043 36.44123077392578, 4.107379913330078 36.42012023925781, 4.11506986618042 36.41466903686523, 4.123069763183594 36.38830184936523, 4.098130226135254 36.38576126098633, 3.984009981155396 36.39202117919922, 3.961450099945068 36.40341949462891, 3.913909912109375 36.42221069335938, 3.906589984893799 36.42609024047852, 3.854660034179688 36.4536018371582, 3.839260101318359 36.47266006469727, 3.788259983062744 36.50809097290039, 3.787260055541992 36.51131057739258, 3.757450103759766 36.51216125488281, 3.740679979324341 36.51403045654297, 3.725670099258423 36.52931976318359, 3.638659954071045 36.54450988769531, 3.596699953079224 36.54396820068359, 3.59197998046875 36.54198837280273, 3.558069944381714 36.54701995849609, 3.521290063858032 36.53958129882812, 3.398849964141846 36.50714111328125, 3.388530015945435 36.49248123168945, 3.335649967193604 36.48014831542969, 3.3225998878479 36.48563003540039, 3.275979995727539 36.48759841918945, 3.212830066680908 36.51185989379883, 3.174890041351318 36.53873825073242, 3.196120023727417 36.56430816650391, 3.255089998245239 36.59423828125, 3.28371000289917 36.60060119628906, 3.289469957351685 36.61434936523438, 3.306299924850464 36.61634826660156, 3.320480108261108 36.60768127441406, 3.444040060043335 36.62686157226562, 3.517580032348633 36.62070083618164, 3.524379968643188 36.63169860839844, 3.526139974594116 36.64511108398438, 3.534780025482178 36.67332077026367, 3.531519889831543 36.69338989257812, 3.541970014572144 36.7080192565918, 3.535749912261963 36.71910095214844, 3.513350009918213 36.75904846191406, 3.492140054702759 36.78657913208008))",,,,,,,,,,,,,
ALGERIA,59.2,61.05,15.65,15.3,25.2,23.65,7.3,7.7,0.87,0.345,0.21,0.06,80.5,94.5,13.2,10.25,50.0,36.5,4.9,12.3,1.3,1.5,10.5,6.0,"POLYGON ((4.123069763183594 36.38830184936523, 4.11506986618042 36.41466903686523, 4.107379913330078 36.42012023925781, 4.07765007019043 36.44123077392578, 4.073180198669434 36.44440078735352, 4.037819862365723 36.45476150512695, 4.019330024719238 36.46651840209961, 4.017819881439209 36.48751831054688, 4.017849922180176 36.49340057373047, 4.023459911346436 36.51424026489258, 4.072750091552734 36.52590942382812, 4.125140190124512 36.54113006591797, 4.18189001083374 36.49893188476562, 4.217030048370361 36.49190902709961, 4.221660137176514 36.47795104980469, 4.225150108337402 36.46878051757812, 4.234109878540039 36.46286010742188, 4.289340019226074 36.45795059204102, 4.298870086669922 36.45209121704102, 4.299359798431396 36.44816970825195, 4.300580024719238 36.43846893310547, 4.287749767303467 36.42541122436523, 4.282350063323975 36.4199104309082, 4.27632999420166 36.40235137939453, 4.227479934692383 36.39138031005859, 4.123069763183594 36.38830184936523))",,,,,,,,,,,,,
