lat,lon,PSurf_autumn,PSurf_spring,PSurf_summer,PSurf_winter,Qair_autumn,Qair_spring,Qair_summer,Qair_winter,Rainf_autumn,Rainf_spring,Rainf_summer,Rainf_winter,Snowf_autumn,Snowf_spring,Snowf_summer,Snowf_winter,Tair_autumn,Tair_spring,Tair_summer,Tair_winter,Wind_autumn,Wind_spring,Wind_summer,Wind_winter,sand % topsoil,sand % subsoil,silt % topsoil,silt% subsoil,clay % topsoil,clay % subsoil,pH water topsoil,pH water subsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,BS % topsoil,BS % subsoil,CEC topsoil,CEC subsoil,CEC clay topsoil,CEC Clay subsoil,CaCO3 % topsoil,CaCO3 % subsoil,BD topsoil,BD subsoil,C/N topsoil,C/N subsoil
20.25,3.75,92861.445,92766.57,92694.88,93238.71,0.0043355445,0.003215882,0.0070814206,0.0022928852,0.0,4.898735e-07,6.2872355e-06,0.0,0.0,0.0,0.0,0.0,300.6832,300.7169,305.21677,291.8501,3.8218987,4.711015,3.8960502,4.429722,24.4,24.95,13.275,13.8,12.375,11.225,3.5,3.575,0.4475,0.36,0.065,0.0375,39.25,44.75,6.825,4.9,26.5,17.5,1.0,0.525,0.55,0.6,5.0,3.75
20.25,4.25,94595.75,94495.31,94391.086,95040.73,0.004574864,0.0033540586,0.007213685,0.0024993436,0.0,0.0,5.4130164e-06,0.0,0.0,0.0,0.0,0.0,301.65,301.8168,305.94998,292.88336,3.718619,4.5116415,3.733236,4.214372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.25,4.75,95566.79,95462.336,95348.5,96043.23,0.0045203683,0.0032995604,0.0071075126,0.0024694486,1.0845886e-07,0.0,6.2803606e-06,0.0,0.0,0.0,0.0,0.0,301.78323,302.08328,306.01675,293.05005,3.8139307,4.5471773,3.7073696,4.51314,29.45,28.0,8.1,8.5,12.45,13.5,3.55,3.6,0.485,0.2,0.065,0.01,34.5,45.0,5.2,4.0,27.5,14.0,0.05,0.25,0.6,0.75,5.5,4.0
20.25,5.25,95430.625,95320.34,95214.47,95900.96,0.004603408,0.0033169107,0.0071515865,0.0025009254,0.0,0.0,5.68623e-06,0.0,0.0,0.0,0.0,0.0,302.0834,302.4833,306.2499,293.24997,3.898001,4.587616,3.7920864,4.7304025,24.4,24.95,13.275,13.8,12.375,11.225,3.5,3.575,0.4475,0.36,0.065,0.0375,39.25,44.75,6.825,4.9,26.5,17.5,1.0,0.525,0.55,0.6,5.0,3.75
20.25,5.75,95197.75,95083.445,94987.06,95661.07,0.004548967,0.0032602346,0.0071111037,0.002478523,0.0,0.0,4.914834e-06,0.0,0.0,0.0,0.0,0.0,301.85007,302.31677,306.01663,292.94992,3.8581104,4.5095916,3.8297927,4.7629848,29.45,28.0,8.1,8.5,12.45,13.5,3.55,3.6,0.485,0.2,0.065,0.01,34.5,45.0,5.2,4.0,27.5,14.0,0.05,0.25,0.6,0.75,5.5,4.0
20.25,6.25,95017.12,94902.35,94813.805,95473.98,0.004662102,0.0033717628,0.00737191,0.0025512867,0.0,0.0,3.907639e-06,0.0,0.0,0.0,0.0,0.0,302.2499,302.84995,306.44998,293.34998,3.823247,4.4192615,3.8267639,4.740145,58.9,56.0,16.2,17.0,24.9,27.0,7.1,7.2,0.97,0.4,0.13,0.02,69.0,90.0,10.4,8.0,55.0,28.0,0.1,0.5,1.2,1.5,11.0,8.0
20.75,1.25,95928.914,95839.1,95701.15,96367.73,0.0043356805,0.003318239,0.0077164695,0.002219283,1.133487e-06,2.79632e-07,5.314611e-06,0.0,0.0,0.0,0.0,0.0,301.81668,301.01666,306.7499,292.18338,3.9205265,4.4296403,4.081863,4.310345,41.81,35.19,35.71,37.09,22.48,27.57,8.27,8.06,0.195,0.177,0.023,0.013,100.0,100.0,6.44,5.49,59.7,50.6,21.8,21.81,1.53,1.4,10.0,14.1
20.75,1.75,95195.4,95104.26,94984.79,95612.06,0.0043643205,0.0033054117,0.0077340063,0.002205326,1.0909931e-06,6.9254355e-07,5.171191e-06,0.0,0.0,0.0,0.0,0.0,301.7167,301.01663,306.61673,292.25,3.852615,4.4922237,4.1059484,4.3463197,24.4,24.95,13.275,13.8,12.375,11.225,3.5,3.575,0.4475,0.36,0.065,0.0375,39.25,44.75,6.825,4.9,26.5,17.5,1.0,0.525,0.55,0.6,5.0,3.75
20.75,2.25,94173.19,94079.96,93979.32,94562.15,0.0042724716,0.003213606,0.0073381313,0.0021685485,8.954833e-07,8.60851e-07,5.7740945e-06,0.0,0.0,0.0,0.0,0.0,301.15,300.5834,306.08328,291.7167,3.6985004,4.4954853,4.107194,4.3098063,24.4,24.95,13.275,13.8,12.375,11.225,3.5,3.575,0.4475,0.36,0.065,0.0375,39.25,44.75,6.825,4.9,26.5,17.5,1.0,0.525,0.55,0.6,5.0,3.75
20.75,2.75,94181.81,94086.69,93978.336,94590.59,0.0043394216,0.0032535896,0.007029886,0.0022960107,7.008946e-07,3.1048424e-07,5.9985196e-06,0.0,0.0,0.0,0.0,0.0,301.18326,300.71667,306.08334,291.94998,3.490998,4.443566,3.96517,4.16513,24.4,24.95,13.275,13.8,12.375,11.225,3.5,3.575,0.4475,0.36,0.065,0.0375,39.25,44.75,6.825,4.9,26.5,17.5,1.0,0.525,0.55,0.6,5.0,3.75
20.75,3.25,93875.06,93780.125,93672.28,94282.945,0.004353885,0.0032545764,0.006817469,0.0023393831,1.9037203e-07,1.6730935e-07,5.437126e-06,0.0,0.0,0.0,0.0,0.0,300.91672,300.61667,305.7499,291.78323,3.4340484,4.4463177,3.824255,4.149485,24.4,24.95,13.275,13.8,12.375,11.225,3.5,3.575,0.4475,0.36,0.065,0.0375,39.25,44.75,6.825,4.9,26.5,17.5,1.0,0.525,0.55,0.6,5.0,3.75
20.75,3.75,93024.04,92925.26,92836.03,93408.96,0.004289507,0.0031525127,0.0066354536,0.0023140062,5.412377e-07,0.0,4.764987e-06,0.0,0.0,0.0,0.0,0.0,300.44992,300.21664,305.2166,291.41663,3.597208,4.5925345,3.8315108,4.3279705,24.4,24.95,13.275,13.8,12.375,11.225,3.5,3.575,0.4475,0.36,0.065,0.0375,39.25,44.75,6.825,4.9,26.5,17.5,1.0,0.525,0.55,0.6,5.0,3.75
