CNT_FULLNAME,sand % topsoil,sand % subsoil,silt % topsoil,silt% subsoil,clay % topsoil,clay % subsoil,pH water topsoil,pH water subsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,BS % topsoil,BS % subsoil,CEC topsoil,CEC subsoil,CEC clay topsoil,CEC Clay subsoil,CaCO3 % topsoil,CaCO3 % subsoil,BD topsoil,BD subsoil,C/N topsoil,C/N subsoil,geometry
ALGERIA,55.9,54.18,20.24,19.38,23.88,26.44,6.94,7.28,0.69,0.306,0.132,0.048,86.2,94.2,12.06,12.14,47.6,42.8,2.02,5.1,1.42,1.5,10.8,8.4,"POLYGON ((3.6944100856781006 36.846771240234375, 3.704890012741089 36.85358810424805, 3.7428600788116455 36.87873840332031, 3.756089925765991 36.893619537353516, 3.766740083694458 36.905601501464844, 3.8323299884796143 36.92631149291992, 3.883389949798584 36.935428619384766, 3.887769937515259 36.93621063232422, 3.9755799770355225 36.92103958129883, 4.003459930419922 36.925289154052734, 4.035900115966797 36.92039108276367, 4.06525993347168 36.92481994628906, 4.145999908447266 36.919158935546875, 4.159379959106445 36.919151306152344, 4.233310222625732 36.9190788269043, 4.2746901512146 36.92361068725586, 4.305650234222412 36.91852951049805, 4.407949924468994 36.918880462646484, 4.458399772644043 36.91019058227539, 4.473130226135254 36.92142868041992, 4.525199890136719 36.91606903076172, 4.533440113067627 36.91318893432617, 4.557129859924316 36.90494155883789, 4.682119846343994 36.90489959716797, 4.719399929046631 36.8957405090332, 4.762119770050049 36.903709411621094, 4.854030132293701 36.89411163330078, 4.973299980163574 36.858619689941406, 4.991109848022461 36.843170166015625, 4.999489784240723 36.835899353027344, 5.025990009307861 36.83982849121094, 5.085939884185791 36.80363845825195, 5.131360054016113 36.792579650878906, 5.143239974975586 36.78068161010742, 5.134890079498291 36.77241134643555, 5.0708699226379395 36.74338912963867, 4.9830498695373535 36.72520065307617, 4.96382999420166 36.71324920654297, 4.954659938812256 36.7158317565918, 4.929989814758301 36.71281814575195, 4.893459796905518 36.70404052734375, 4.868780136108398 36.6981201171875, 4.779950141906738 36.66596984863281, 4.780350208282471 36.662681579589844, 4.739009857177734 36.62860107421875, 4.6885600090026855 36.596641540527344, 4.683219909667969 36.5725212097168, 4.676839828491211 36.527931213378906, 4.663959980010986 36.52690887451172, 4.641499996185303 36.507598876953125, 4.615489959716797 36.49214172363281, 4.494929790496826 36.419639587402344, 4.341770172119141 36.357948303222656, 4.327199935913086 36.34299850463867, 4.264540195465088 36.336891174316406, 4.062960147857666 36.33831024169922, 4.013030052185059 36.33372116088867, 3.9990200996398926 36.342529296875, 3.870490074157715 36.35023880004883, 3.8229899406433105 36.35895919799805, 3.8242099285125732 36.365478515625, 3.8274800777435303 36.38304138183594, 3.8168299198150635 36.395999908447266, 3.8016700744628906 36.41447067260742, 3.8012399673461914 36.41775131225586, 3.701200008392334 36.442298889160156, 3.6847400665283203 36.46421813964844, 3.6655800342559814 36.47959899902344, 3.6587400436401367 36.49557876586914, 3.740679979324341 36.51403045654297, 3.7574501037597656 36.51216125488281, 3.787260055541992 36.51131057739258, 3.788259983062744 36.50809097290039, 3.8392601013183594 36.472660064697266, 3.8546600341796875 36.4536018371582, 3.906589984893799 36.426090240478516, 3.913909912109375 36.422210693359375, 3.9614500999450684 36.403419494628906, 3.9840099811553955 36.39202117919922, 4.098130226135254 36.38576126098633, 4.123069763183594 36.388301849365234, 4.227479934692383 36.391380310058594, 4.27632999420166 36.40235137939453, 4.282350063323975 36.4199104309082, 4.287749767303467 36.425411224365234, 4.300580024719238 36.43846893310547, 4.2993597984313965 36.44816970825195, 4.298870086669922 36.452091217041016, 4.289340019226074 36.457950592041016, 4.234109878540039 36.462860107421875, 4.225150108337402 36.468780517578125, 4.221660137176514 36.47795104980469, 4.217030048370361 36.49190902709961, 4.18189001083374 36.498931884765625, 4.125140190124512 36.54113006591797, 4.072750091552734 36.525909423828125, 4.0234599113464355 36.51424026489258, 3.913140058517456 36.540618896484375, 3.9018499851226807 36.54151916503906, 3.836639881134033 36.54695129394531, 3.8267199993133545 36.559349060058594, 3.7769899368286133 36.5782585144043, 3.744309902191162 36.59484100341797, 3.6814301013946533 36.626800537109375, 3.6927599906921387 36.661399841308594, 3.738679885864258 36.69329833984375, 3.7382500171661377 36.69657897949219, 3.7973999977111816 36.69554138183594, 3.8148200511932373 36.69721984863281, 3.843440055847168 36.699989318847656, 3.9111900329589844 36.696380615234375, 3.999500036239624 36.67134094238281, 4.0296101570129395 36.669979095458984, 4.119900226593018 36.6657600402832, 4.236480236053467 36.64984130859375, 4.287499904632568 36.647911071777344, 4.294849872589111 36.6551399230957, 4.2912797927856445 36.67853927612305, 4.30826997756958 36.707420349121094, 4.304269790649414 36.734100341796875, 4.290170192718506 36.742881774902344, 4.208680152893066 36.75223159790039, 4.151750087738037 36.75094985961914, 3.925339937210083 36.745418548583984, 3.8360400199890137 36.74671173095703, 3.810580015182495 36.766868591308594, 3.797790050506592 36.77701187133789, 3.7600700855255127 36.776580810546875, 3.7240500450134277 36.79005813598633, 3.7104499340057373 36.825801849365234, 3.6944100856781006 36.846771240234375))"
ALGERIA,40.08,38.085,20.015,18.79,39.875,43.095,6.89,7.02,0.6135,0.367,0.0795,0.046,89.6,90.6,27.37,29.37,61.0,63.9,0.845,1.245,1.46,1.595,10.4,9.7,"POLYGON ((3.5675699710845947 36.79655838012695, 3.615999937057495 36.80398941040039, 3.638819932937622 36.81462097167969, 3.6605300903320312 36.82474136352539, 3.6944100856781006 36.846771240234375, 3.7104499340057373 36.825801849365234, 3.7240500450134277 36.79005813598633, 3.7600700855255127 36.776580810546875, 3.797790050506592 36.77701187133789, 3.810580015182495 36.766868591308594, 3.8360400199890137 36.74671173095703, 3.925339937210083 36.745418548583984, 4.151750087738037 36.75094985961914, 4.208680152893066 36.75223159790039, 4.290170192718506 36.742881774902344, 4.304269790649414 36.734100341796875, 4.30826997756958 36.707420349121094, 4.2912797927856445 36.67853927612305, 4.294849872589111 36.6551399230957, 4.287499904632568 36.647911071777344, 4.236480236053467 36.64984130859375, 4.119900226593018 36.6657600402832, 4.0296101570129395 36.669979095458984, 3.999500036239624 36.67134094238281, 3.9111900329589844 36.696380615234375, 3.843440055847168 36.699989318847656, 3.8148200511932373 36.69721984863281, 3.7973999977111816 36.69554138183594, 3.7382500171661377 36.69657897949219, 3.737370014190674 36.703128814697266, 3.7090299129486084 36.721038818359375, 3.612149953842163 36.7216682434082, 3.585750102996826 36.757179260253906, 3.574779987335205 36.771949768066406, 3.5675699710845947 36.79655838012695))"
ALGERIA,55.44,54.55,20.84,19.55,23.75,25.9,6.94,7.36,0.63,0.283,0.143,0.058,90.6,95.5,12.71,13.13,45.7,46.4,2.98,7.44,1.47,1.5,10.7,8.2,"POLYGON ((3.492140054702759 36.78657913208008, 3.5192298889160156 36.78096008300781, 3.5559298992156982 36.794769287109375, 3.5675699710845947 36.79655838012695, 3.574779987335205 36.771949768066406, 3.585750102996826 36.757179260253906, 3.612149953842163 36.7216682434082, 3.7090299129486084 36.721038818359375, 3.737370014190674 36.703128814697266, 3.7382500171661377 36.69657897949219, 3.738679885864258 36.69329833984375, 3.6927599906921387 36.661399841308594, 3.6814301013946533 36.626800537109375, 3.744309902191162 36.59484100341797, 3.7769899368286133 36.5782585144043, 3.8267199993133545 36.559349060058594, 3.836639881134033 36.54695129394531, 3.9018499851226807 36.54151916503906, 3.913140058517456 36.540618896484375, 4.0234599113464355 36.51424026489258, 4.017849922180176 36.49340057373047, 4.017819881439209 36.487518310546875, 4.019330024719238 36.46651840209961, 4.037819862365723 36.45476150512695, 4.073180198669434 36.444400787353516, 4.07765007019043 36.44123077392578, 4.107379913330078 36.42012023925781, 4.11506986618042 36.414669036865234, 4.123069763183594 36.388301849365234, 4.098130226135254 36.38576126098633, 3.9840099811553955 36.39202117919922, 3.9614500999450684 36.403419494628906, 3.913909912109375 36.422210693359375, 3.906589984893799 36.426090240478516, 3.8546600341796875 36.4536018371582, 3.8392601013183594 36.472660064697266, 3.788259983062744 36.50809097290039, 3.787260055541992 36.51131057739258, 3.7574501037597656 36.51216125488281, 3.740679979324341 36.51403045654297, 3.725670099258423 36.529319763183594, 3.638659954071045 36.54450988769531, 3.5966999530792236 36.543968200683594, 3.59197998046875 36.541988372802734, 3.558069944381714 36.547019958496094, 3.5212900638580322 36.539581298828125, 3.3988499641418457 36.50714111328125, 3.3885300159454346 36.49248123168945, 3.3356499671936035 36.48014831542969, 3.3225998878479004 36.48563003540039, 3.275979995727539 36.48759841918945, 3.212830066680908 36.51185989379883, 3.1748900413513184 36.53873825073242, 3.196120023727417 36.564308166503906, 3.2550899982452393 36.59423828125, 3.28371000289917 36.60060119628906, 3.2894699573516846 36.614349365234375, 3.306299924850464 36.61634826660156, 3.3204801082611084 36.60768127441406, 3.444040060043335 36.626861572265625, 3.517580032348633 36.62070083618164, 3.5243799686431885 36.63169860839844, 3.526139974594116 36.645111083984375, 3.5347800254821777 36.67332077026367, 3.531519889831543 36.693389892578125, 3.5419700145721436 36.7080192565918, 3.535749912261963 36.71910095214844, 3.513350009918213 36.75904846191406, 3.492140054702759 36.78657913208008))"
ALGERIA,59.2,61.05,15.65,15.3,25.2,23.65,7.3,7.7,0.87,0.345,0.21,0.06,80.5,94.5,13.2,10.25,50.0,36.5,4.9,12.3,1.3,1.5,10.5,6.0,"POLYGON ((4.123069763183594 36.388301849365234, 4.11506986618042 36.414669036865234, 4.107379913330078 36.42012023925781, 4.07765007019043 36.44123077392578, 4.073180198669434 36.444400787353516, 4.037819862365723 36.45476150512695, 4.019330024719238 36.46651840209961, 4.017819881439209 36.487518310546875, 4.017849922180176 36.49340057373047, 4.0234599113464355 36.51424026489258, 4.072750091552734 36.525909423828125, 4.125140190124512 36.54113006591797, 4.18189001083374 36.498931884765625, 4.217030048370361 36.49190902709961, 4.221660137176514 36.47795104980469, 4.225150108337402 36.468780517578125, 4.234109878540039 36.462860107421875, 4.289340019226074 36.457950592041016, 4.298870086669922 36.452091217041016, 4.2993597984313965 36.44816970825195, 4.300580024719238 36.43846893310547, 4.287749767303467 36.425411224365234, 4.282350063323975 36.4199104309082, 4.27632999420166 36.40235137939453, 4.227479934692383 36.391380310058594, 4.123069763183594 36.388301849365234))"
