lat,lon,PSurf_autumn,PSurf_spring,PSurf_summer,PSurf_winter,Qair_autumn,Qair_spring,Qair_summer,Qair_winter,Rainf_autumn,Rainf_spring,Rainf_summer,Rainf_winter,Snowf_autumn,Snowf_spring,Snowf_summer,Snowf_winter,Tair_autumn,Tair_spring,Tair_summer,Tair_winter,Wind_autumn,Wind_spring,Wind_summer,Wind_winter,sand % topsoil,sand % subsoil,silt % topsoil,silt% subsoil,clay % topsoil,clay % subsoil,pH water topsoil,pH water subsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,BS % topsoil,BS % subsoil,CEC topsoil,CEC subsoil,CEC clay topsoil,CEC Clay subsoil,CaCO3 % topsoil,CaCO3 % subsoil,BD topsoil,BD subsoil,C/N topsoil,C/N subsoil
25.25,-3.75,97666.31,97493.71,97209.54,98228.19,0.0050534904,0.004099176,0.0040795375,0.0034311882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.04987,300.35,308.41663,290.48325,4.037248,4.8432617,4.601711,4.698261,49.04,45.4,26.22,27.78,24.78,26.56,7.42,7.54,0.556,0.426,0.1119999999999999,0.066,89.0,93.4,10.68,8.66,60.8,44.0,8.66,13.68,1.34,1.32,8.8,9.6
25.25,-3.25,97715.24,97543.18,97253.63,98277.87,0.0051855478,0.004254012,0.00416732,0.0035428081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.2833,300.58337,308.71667,290.6167,4.0513864,4.8534436,4.474203,4.732327,49.04,45.4,26.22,27.78,24.78,26.56,7.42,7.54,0.556,0.426,0.1119999999999999,0.066,89.0,93.4,10.68,8.66,60.8,44.0,8.66,13.68,1.34,1.32,8.8,9.6
25.25,-2.75,97713.46,97540.57,97248.37,98272.79,0.0053664446,0.004389798,0.0043036835,0.0036614395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.3834,300.48325,308.81656,290.5167,4.0813107,4.860543,4.393542,4.812002,35.673,32.472,13.925999999999998,14.817,16.401,18.579,4.884,4.95,0.429,0.2079,0.0759,0.0264,54.45,61.38,6.303,5.247000000000001,39.93,25.74,4.356,7.457999999999999,0.8909999999999999,0.957,6.27,6.27
25.25,-2.25,97839.19,97667.32,97368.875,98401.48,0.005481064,0.0044765957,0.0044179265,0.0037360888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.41666,300.4833,308.85007,290.41672,4.0243716,4.7544065,4.311269,4.7345624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.25,-1.75,97843.125,97672.01,97374.055,98404.26,0.0054328362,0.004394868,0.004451867,0.0037150837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.35007,300.3167,308.88333,290.31674,4.006453,4.691993,4.2649226,4.675525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.25,-1.25,97855.78,97686.31,97387.945,98415.96,0.005378896,0.0043299487,0.0044486937,0.0036546383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.4166,300.28345,309.0166,290.28336,4.001629,4.684819,4.256126,4.637206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.25,-0.75,97569.29,97402.21,97111.01,98116.04,0.0053387447,0.004312526,0.0044331946,0.003588466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.68332,300.48325,309.21655,290.4832,4.003365,4.7213674,4.3235188,4.617992,45.08,42.25,29.01,30.68,25.98,26.81,7.59,7.73,0.493,0.486,0.104,0.08,94.0,94.3,11.95,10.12,59.4,47.0,10.98,16.0,1.38,1.26,8.8,9.6
25.25,-0.25,97700.28,97535.93,97239.9,98251.305,0.005189858,0.004158928,0.0043184897,0.0034306052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.81662,300.51657,309.31662,290.51663,4.1231256,4.834846,4.4572334,4.6932855,45.08,42.25,29.01,30.68,25.98,26.81,7.59,7.73,0.493,0.486,0.104,0.08,94.0,94.3,11.95,10.12,59.4,47.0,10.98,16.0,1.38,1.26,8.8,9.6
25.75,-2.25,97712.375,97531.62,97241.15,98273.695,0.0054885824,0.004580759,0.0042845383,0.0037382168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.08337,300.28323,308.84995,290.01657,4.002975,4.8068624,4.333004,4.6647925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.75,-1.75,97738.94,97560.91,97269.5,98298.24,0.00543889,0.004534831,0.0043281964,0.0036975741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.08328,300.21664,308.9833,289.9501,4.011783,4.762383,4.3269696,4.6682005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.75,-1.25,97751.56,97575.81,97282.69,98308.99,0.005373889,0.0044364487,0.0042806896,0.0036210462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.1166,300.11655,309.0167,289.84995,4.0343766,4.761322,4.345494,4.683049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.75,-0.75,97852.875,97679.88,97382.03,98414.56,0.0053822096,0.0043647755,0.0042482335,0.0035987173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.48337,300.4167,309.3499,290.18344,3.97295,4.7184806,4.3525815,4.568519,45.08,42.25,29.01,30.68,25.98,26.81,7.59,7.73,0.493,0.486,0.104,0.08,94.0,94.3,11.95,10.12,59.4,47.0,10.98,16.0,1.38,1.26,8.8,9.6
26.25,-1.75,97756.5,97569.29,97283.85,98320.305,0.005449619,0.004568069,0.004206088,0.0036920037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.74997,299.9832,308.91653,289.55,4.015068,4.83266,4.325852,4.6406007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.25,-1.25,97747.27,97563.34,97276.75,98306.81,0.0053708754,0.004499903,0.0041562174,0.0035858632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.78336,299.8834,309.01657,289.41663,4.05712,4.798553,4.3368096,4.656238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.25,-0.75,97809.9,97629.6,97340.41,98370.75,0.0052676206,0.004345898,0.0040509445,0.0034688236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.78333,299.78345,309.05005,289.34995,3.9800644,4.6984544,4.317566,4.5147986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.75,-2.25,97565.13,97362.22,97095.305,98128.16,0.0054478813,0.004346132,0.0041341004,0.0036670116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.15,299.55005,308.6166,288.91678,3.9036312,4.820307,4.24388,4.4492073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.75,-1.75,97539.46,97341.375,97073.055,98096.94,0.0054739392,0.004463795,0.004158342,0.003677656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.38333,299.71664,308.9167,289.08328,4.023258,4.869119,4.2646217,4.580549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.75,-1.25,97761.65,97567.97,97290.664,98325.47,0.005352262,0.004389636,0.00406125,0.0035590467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.35007,299.58334,308.95004,288.9501,4.066737,4.811237,4.2655034,4.583174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.75,-0.75,97844.88,97656.414,97376.06,98410.125,0.0052193175,0.004276247,0.0039564986,0.0034195848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.38333,299.48337,309.04996,288.8834,3.9670632,4.6220565,4.250644,4.4063334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.25,-1.25,97763.445,97562.086,97293.25,98332.54,0.005308676,0.0043020756,0.004048743,0.003558832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.91656,299.28336,308.9833,288.5167,4.0794888,4.8390627,4.193236,4.5008893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.75,-1.25,97575.63,97368.96,97110.875,98142.26,0.005269474,0.004231929,0.0040748823,0.003576152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.5499,298.9833,308.88333,288.1167,4.033806,4.79549,4.145889,4.3527265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.25,-0.75,97951.94,97745.96,97479.16,98539.69,0.0049787886,0.0040207976,0.0039663105,0.0034525609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.14993,298.45004,308.9167,287.58328,4.0300536,4.8015447,4.134302,4.31445,36.35,32.01,35.02,35.44,28.66,32.58,8.51,8.36,0.252,0.213,0.0289999999999999,0.022,100.0,100.0,8.48,7.8,55.5,48.2,19.85,17.28,1.59,1.43,10.9,13.2
